Sample, CMD, SDCLK
1612, 1, 1
1615, 1, 0
1617, 1, 1
1620, 1, 0
1622, 1, 1
1625, 1, 0
1627, 1, 1
1630, 1, 0
1632, 1, 1
1635, 1, 0
1637, 1, 1
1640, 1, 0
1642, 1, 1
1645, 1, 0
1647, 1, 1
1650, 1, 0
1652, 1, 1
1655, 1, 0
1657, 1, 1
1660, 1, 0
1662, 1, 1
1665, 1, 0
1667, 1, 1
1670, 1, 0
1672, 1, 1
1675, 1, 0
1677, 1, 1
1680, 1, 0
1682, 1, 1
1685, 1, 0
1687, 1, 1
1690, 1, 0
1692, 1, 1
1695, 1, 0
1698, 1, 1
1700, 1, 0
1703, 1, 1
1705, 1, 0
1708, 1, 1
1710, 1, 0
1712, 1, 1
1715, 1, 0
1718, 1, 1
1720, 1, 0
1723, 1, 1
1725, 1, 0
1728, 1, 1
1730, 1, 0
1732, 1, 1
1735, 1, 0
1737, 1, 1
1740, 1, 0
1742, 1, 1
1745, 1, 0
1747, 1, 1
1750, 1, 0
1752, 1, 1
1755, 1, 0
1757, 1, 1
1760, 1, 0
1762, 1, 1
1765, 1, 0
1767, 1, 1
1770, 1, 0
1772, 1, 1
1775, 1, 0
1777, 1, 1
1780, 1, 0
1782, 1, 1
1785, 1, 0
1787, 1, 1
1790, 1, 0
1793, 1, 1
1795, 1, 0
1798, 1, 1
1800, 1, 0
1803, 1, 1
1805, 1, 0
1808, 1, 1
1810, 1, 0
1813, 1, 1
1815, 1, 0
1818, 1, 1
1820, 1, 0
1823, 1, 1
1825, 1, 0
1828, 1, 1
1830, 1, 0
1833, 1, 1
1835, 1, 0
1838, 1, 1
1840, 1, 0
1843, 1, 1
1845, 1, 0
1848, 1, 1
1850, 1, 0
1853, 1, 1
1855, 1, 0
1858, 1, 1
1860, 1, 0
1863, 1, 1
1865, 1, 0
1868, 1, 1
1870, 1, 0
1873, 1, 1
1875, 1, 0
1878, 1, 1
1880, 1, 0
1883, 1, 1
1885, 1, 0
1888, 1, 1
1890, 1, 0
1893, 1, 1
1895, 1, 0
1898, 1, 1
1900, 1, 0
1903, 1, 1
1905, 1, 0
1908, 1, 1
1910, 1, 0
1913, 1, 1
1915, 1, 0
1918, 1, 1
1920, 1, 0
1923, 1, 1
1925, 1, 0
1928, 1, 1
1930, 1, 0
1933, 1, 1
1935, 1, 0
1938, 1, 1
1940, 1, 0
1943, 1, 1
1945, 1, 0
1948, 1, 1
1950, 1, 0
1953, 1, 1
1955, 1, 0
1958, 1, 1
1960, 1, 0
1963, 1, 1
1965, 1, 0
1968, 1, 1
1970, 1, 0
1973, 1, 1
1975, 1, 0
1978, 1, 1
1980, 1, 0
1983, 1, 1
1985, 1, 0
1988, 1, 1
1990, 1, 0
1993, 1, 1
1995, 1, 0
1998, 1, 1
